HS_CODE,COMMODITY_DESC,GEOGRAPHY_CODE,GEOGRAPHY_DESC,ATTRIBUTE_DESC,ATTRIBUTE_UNIT,YEAR_ID,TIMEPERIOD_ID,AMOUNT
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,11,10018974
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2015,12,5253270
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2016,1,
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2016,2,
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2016,3,
303110000,"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",1,,US Export,VLU,2016,4,
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,1,1523
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,2,7145
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,3,1842
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,4,25075
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,5,5871
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,6,52331
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,7,31146
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,8,41630
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,9,167678
